"","trt","means","M"
"1","new",199076.2889,"a"
"2","import",198445.3623,"a"
"3","public",195701.3574,"b"
"4","private",179374.2549,"c"
"5","final",167183.7367,"d"
"6","static",154015.7431,"e"
"7","long",151136.6536,"f"
"8","throw",135070.9664,"g"
"9","package",120759.5908,"h"
"10","throws",114147.4082,"i"
"11","class",109880.2542,"j"
"12","implements",94051.4209,"k"
"13","interface",84958.0659,"l"
"14","super",80692.3771,"m"
"15","while.",79089.2386,"m"
"16","for.",63148.968,"n"
"17","float",61703.0504,"no"
"18","else.",60579.8232,"o"
"19","volatile",58420.5093,"p"
"20","int",54747.677,"q"
"21","abstract",52824.1188,"r"
"22","return",5004.1343,"s"
