"","trt","means","M"
"1","public",445000.5,"a"
"2","static",431441.2873,"b"
"3","boolean",408729.6841,"c"
"4","import",407272.431,"c"
"5","throws",384477.5881,"d"
"6","void",382931.8532,"d"
"7","class",377883.7591,"e"
"8","extends",376579.3628,"e"
"9","protected",373914.7231,"f"
"10","final",372603.448,"f"
"11","private",338370.0176,"g"
"12","double",323916.5195,"h"
"13","implements",320844.1212,"i"
"14","super",311754.0238,"j"
"15","package",305999.002,"k"
"16","abstract",302009.795,"l"
"17","synchronized",259101.089,"m"
"18","enum",253189.7411,"n"
"19","interface",251935.6071,"n"
"20","byte",230576.3241,"o"
"21","default",226661.3851,"p"
"22","char",223413.1747,"q"
"23","short",212243.2001,"r"
"24","switch",207668.4149,"s"
"25","finally",199253.5351,"t"
"26","this",195285.7735,"u"
"27","do",180740.206,"v"
"28","float",172559.5592,"w"
"29","case",167412.0448,"x"
"30","break.",164578.3743,"y"
"31","volatile",162669.9002,"y"
"32","int",145952.9812,"z"
"33","while.",145667.3649,"z"
"34","try",125373.4725,"A"
"35","continue",107710.676,"B"
"36","assert",107486.7728,"B"
"37","new",104131.6265,"C"
"38","throw",99721.6008,"D"
"39","long",87413.5893,"E"
"40","for.",59984.5897,"F"
"41","catch",58472.7455,"FG"
"42","instanceof",57490.5898,"G"
"43","else.",32440.4517,"H"
"44","return",17159.0943,"I"
"45","if.",5000.5,"J"
