"","trt","means","M"
"1","public",435514.7305,"a"
"2","final",416421.5424,"b"
"3","private",402215.0879,"c"
"4","boolean",399794.3863,"cd"
"5","int",399316.0874,"cd"
"6","new",398407.9976,"d"
"7","byte",357379.914,"e"
"8","implements",322582.0071,"f"
"9","volatile",315345.6563,"g"
"10","class",312140.2039,"g"
"11","case",312135.1653,"g"
"12","synchronized",307926.9117,"h"
"13","long",304075.5234,"i"
"14","extends",294812.9544,"j"
"15","break.",289445.902,"k"
"16","static",288573.084,"k"
"17","package",287798.7789,"k"
"18","void",281329.8722,"l"
"19","char",264919.3224,"m"
"20","interface",255253.8952,"n"
"21","throw",254951.9188,"n"
"22","switch",239962.9223,"o"
"23","this",220907.7774,"p"
"24","abstract",219245.2279,"p"
"25","throws",219210.2774,"p"
"26","default",214106.5983,"q"
"27","do",182859.7495,"r"
"28","protected",181092.5944,"rs"
"29","double",177767.2627,"s"
"30","float",164892.3983,"t"
"31","enum",149739.1795,"u"
"32","for.",145593.9204,"v"
"33","return",135755.6036,"w"
"34","short",135269.9509,"w"
"35","finally",115759.1417,"x"
"36","try",110782.4153,"y"
"37","native",104991.7662,"z"
"38","import",91946.0283,"A"
"39","super",91582.7899,"A"
"40","continue",89961.9991,"A"
"41","while.",86152.2072,"B"
"42","catch",69042.4059,"C"
"43","instanceof",41181.0413,"D"
"44","else.",31877.7999,"E"
"45","if.",5000.5009,"F"
