"","trt","means","M"
"1","public",183469.0313,"a"
"2","void",171601.2716,"b"
"3","import",160086.0437,"c"
"4","private",159521.9188,"c"
"5","class",137659.2501,"d"
"6","static",136318.3735,"d"
"7","this",124642.7872,"e"
"8","throw",117968.9071,"f"
"9","final",112514.736,"g"
"10","boolean",107243.7433,"h"
"11","protected",95331.5801,"i"
"12","int",90089.5028,"j"
"13","package",82452.4352,"k"
"14","throws",68074.9436,"l"
"15","extends",67866.2966,"l"
"16","interface",66240.3174,"m"
"17","finally",56122.971,"n"
"18","super",35387.2648,"o"
"19","for.",22416.7564,"p"
"20","if.",5001.8695,"q"
